"jurisdiction","regulation_or_guidance","source_url","risk_domain","requirement_summary","applies_to_vocaliq","applicability_rationale","product_requirement","technical_control","operational_control","evidence_required","owner","priority","implementation_phase","legal_review_required","last_verified_date"
"EU","GDPR (General Data Protection Regulation)","https://gdpr-info.eu/","Data protection and privacy","Lawful basis for processing personal data including voice recordings and transcripts. Data minimization, purpose limitation, storage limitation. Data subject rights (access, erasure, portability). Cross-border transfer restrictions. Data breach notification within 72 hours. DPIA required for high-risk processing.","Yes","VocalIQ processes voice data (personal data) and transcripts. Caller identity data, account information, and behavioral data all constitute personal data under GDPR.","Consent management for call recording. Data minimization pipeline (redact PII before model calls). Data retention controls. Data subject access request support. Cross-border transfer documentation. DPIA template for bank deployments.","PII redaction in speech layer before model gateway. Configurable data retention with automated purging. Data residency controls. Encryption at rest and in transit. Pseudonymization where feasible.","DPIA process for each bank deployment. Data processing agreement template. Data breach response runbook. Records of processing activities. DPO engagement for high-risk use cases.","DPIA documentation. Data processing agreements. Records of processing activities. Data flow diagrams. Breach notification procedures.","Data Protection Officer","P0","MVP","Yes","2026-05-03"
"Singapore","PDPA (Personal Data Protection Act 2012)","https://sso.agc.gov.sg/Act/PDPA2012","Data protection and privacy","Consent for collection and use of personal data. Purpose limitation. Reasonable security measures. Data breach notification (significant harm threshold). Cross-border transfer restrictions. Access and correction rights.","Yes","Voice recordings, transcripts, and customer account data are personal data under PDPA. Singapore is the primary launch jurisdiction.","Consent management for data collection. Purpose limitation enforcement. Configurable retention policies. Data breach detection and notification support. Customer data access and correction workflow.","Consent capture in call flow (recording notice nodes). Data minimization pipeline. Encryption standards. Access controls with audit trail. Automated data deletion per retention policy.","Data protection officer engagement. Consent management procedures. Breach response plan. Cross-border transfer assessment. Staff training on PDPA obligations.","Consent records. Data protection policies. Breach notification procedures. Cross-border transfer documentation.","Data Protection Officer","P0","MVP","Yes","2026-05-03"
"UK","UK GDPR + Data Protection Act 2018","https://ico.org.uk/","Data protection and privacy","UK-specific GDPR implementation. Largely mirrors EU GDPR with UK-specific adequacy framework for international transfers. ICO enforcement. Similar rights framework to EU GDPR.","Yes","Same rationale as EU GDPR. UK is a target jurisdiction.","Same as EU GDPR product requirements. UK-specific data transfer mechanisms (UK adequacy decisions, UK SCCs). ICO registration support.","Same as EU GDPR technical controls. UK-specific transfer safeguards.","ICO registration. UK-specific DPIA process. UK breach notification procedures (similar 72-hour window).","UK DPIA. ICO registration. UK-specific data transfer documentation.","Data Protection Officer","P1","Phase 2","Yes","2026-05-03"
"US","GLBA Safeguards Rule + State privacy laws","https://www.ftc.gov/legal-library/browse/rules/safeguards-rule","Data protection and privacy","GLBA requires financial institutions to safeguard customer information. State laws (CCPA/CPRA in California, others) add consumer privacy rights. No single federal privacy law. Patchwork of state requirements.","Yes","VocalIQ processes customer financial information on behalf of banks. Banks subject to GLBA must ensure service providers maintain appropriate safeguards.","Information security program aligned with GLBA Safeguards Rule. State-specific privacy rights support (opt-out, deletion, access). Service provider agreement compliance.","Encryption. Access controls. Multi-factor authentication for system access. Vulnerability assessment. Penetration testing. Incident response capability.","Information security program documentation. Vendor risk assessment support. Service provider agreement template. State privacy law compliance matrix.","Information security program. Risk assessment. Penetration test results. Service provider agreements.","CISO","P1","Phase 2","Yes","2026-05-03"
"Multi-jurisdiction","Call recording consent requirements (varies by jurisdiction)","Multiple sources per jurisdiction","Call recording and consent","Call recording requires consent or notice depending on jurisdiction. Singapore: one-party consent generally sufficient with notice. EU: varies by member state (some require two-party consent). UK: one-party consent with notice. US: varies by state (federal one-party, some states require all-party consent).","Yes","Every VocalIQ call is recorded for audit, training, and compliance. Recording consent is a prerequisite for all other processing.","Configurable recording consent flow in conversation graph. Jurisdiction-aware consent script selection. Consent capture and logging. Opt-out handling with graceful degradation.","Recording notice node in graph template (mandatory first node). Consent status tracked in call metadata. Recording paused/stopped if consent withheld (jurisdiction-dependent). Consent event logged in Audit Ledger.","Jurisdiction-specific consent script library. Regular review of consent requirements as laws change. Consent audit trail.","Consent scripts per jurisdiction. Consent capture logs. Recording consent audit trail.","Chief Product Officer","P0","MVP","Yes","2026-05-03"
"Global","PCI DSS v4.x","https://blog.pcisecuritystandards.org/pci-dss-v4-0-resource-hub","Payment/card data security","Security standards for organizations storing, processing, or transmitting cardholder data. Encrypted transmission. Access controls. Logging. Vulnerability management. Network segmentation. Future-dated requirements now mandatory.","Yes (scope minimization critical)","VocalIQ handles calls where card data may be spoken (lost card, card activation, balance inquiries). Architecture must minimize PCI scope.","Design architecture so AI components never receive PAN, CVV, or sensitive auth data. Secure DTMF capture through isolated path bypassing AI pipeline. Real-time redaction in speech layer. PCI scope statement documenting out-of-scope status.","DTMF isolation in media gateway. PCI redaction in speech layer before model gateway. Card data never in LLM prompts or logs. Network segmentation between PCI and non-PCI zones. Encryption for any card data in transit.","Annual PCI scope assessment. Redaction effectiveness monitoring. Incident response for card data exposure. Staff training on PCI handling.","PCI scope statement. Architecture diagram showing data flow isolation. Redaction test results. Network segmentation documentation.","CISO","P0","MVP","Yes","2026-05-03"
"EU","DORA (Digital Operational Resilience Act)","https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/digital-operational-resilience-act-dora","Operational resilience","ICT risk management frameworks. Incident reporting within 24 hours. Register of Information for ICT third-party providers. Resilience testing including TLPT. Exit plans. Business continuity. Penalties up to 2% worldwide turnover.","Yes","VocalIQ is an ICT third-party provider to EU-regulated banks. Must enable bank DORA compliance.","Automated failover and degraded-mode operation. ICT dependency documentation for bank RoI. Incident detection and reporting support. Exit plan with data portability. Resilience testing support.","Multi-region deployment capability. Automated failover (IVR fallback if AI pipeline fails). Health monitoring dashboards. Circuit breakers on all external dependencies. Data export APIs for exit scenarios.","ICT dependency mapping and documentation. Incident response runbook with 24-hour notification support. Annual resilience testing. Exit plan maintenance. Subprocessor list management.","RoI documentation. Incident reports. Resilience test results. Exit plan. Business continuity plan. Subprocessor list.","CTO","P0","MVP","Yes","2026-05-03"
"UK","PRA/FCA Operational Resilience Framework","https://www.bankofengland.co.uk/prudential-regulation/publication/2021/march/operational-resilience","Operational resilience","UK-regulated firms must identify important business services, set impact tolerances, and remain within those tolerances during severe but plausible scenarios. Third-party service providers must support firms in meeting these requirements.","Yes","Contact center voice handling is likely an important business service for UK banks. VocalIQ must support impact tolerance testing.","Degraded-mode operation within defined impact tolerances. Support for bank scenario testing. SLA documentation aligned with impact tolerances.","Configurable degraded modes (IVR fallback, human-only mode, reduced-feature mode). Performance monitoring against SLAs. Automated alerting when approaching impact tolerances.","Impact tolerance documentation. Scenario testing support. SLA reporting. Third-party dependency mapping for UK banks.","Impact tolerance documentation. Scenario test results. SLA performance reports. Dependency maps.","CTO","P1","Phase 2","Yes","2026-05-03"
"EU","EU AI Act (Regulation 2024/1689)","https://artificialintelligenceact.eu/","AI governance","Risk-based AI regulation. High-risk AI systems (Annex III includes creditworthiness assessment) must meet transparency, explainability, human oversight, data quality, and accuracy requirements. Compliance deadline: August 2026 (potential postponement to December 2027 under Digital Omnibus). General-purpose AI model obligations for providers.","Yes (conditionally)","VocalIQ's core contact center servicing workflows likely fall below high-risk classification. However, any expansion into credit-related workflows would trigger Annex III. General-purpose AI model obligations may apply to LLM usage.","Proactive AI Act classification for all workflows. Model registry with AI Act-compatible documentation. Risk management system. Human oversight capabilities. Transparency to users (callers must know they are interacting with AI).","Model registry with version tracking and documentation. Evaluation lab producing AI Act-compatible evidence. AI disclosure in call opening (caller informed of AI interaction). Human override capability for all AI decisions.","AI Act classification review for new workflows. Model risk management process. Bias monitoring. Incident reporting for AI-related incidents.","AI Act classification per workflow. Model documentation (model cards). Risk management documentation. Human oversight audit trails. AI disclosure scripts.","Chief Product Officer","P0","MVP","Yes","2026-05-03"
"Singapore","MAS AI Risk Management Guidelines (AIRG)","https://www.mas.gov.sg/news/media-releases/2025/mas-guidelines-for-artificial-intelligence-risk-management","AI governance","Principles-based AI risk management for financial institutions. Board-level AI oversight. Three lines of defense model. AI inventory. Proportionate life-cycle controls (data management, fairness, transparency, human oversight). Third-party AI management. 12-month transition from issuance.","Yes","Singapore is the primary launch market. VocalIQ is a third-party AI provider to Singapore-regulated FIs. Must enable bank compliance with AIRG.","AI inventory export for bank reporting. Model cards with fairness and transparency documentation. Human oversight capabilities. Third-party AI management documentation.","Model registry with AIRG-compatible fields. Fairness monitoring (bias detection in AI decisions). Explainability outputs for model decisions. Human oversight dashboard.","AIRG compliance checklist for Singapore deployments. Model governance process. Bias monitoring and reporting. Third-party documentation for bank procurement.","AI inventory exports. Model cards. Fairness assessment reports. Human oversight audit trails. Third-party AI management documentation.","Chief Product Officer","P0","MVP","Yes","2026-05-03"
"US","NIST AI Risk Management Framework + Generative AI Profile","https://www.nist.gov/itl/ai-risk-management-framework","AI governance","Voluntary framework. Four functions: Govern, Map, Measure, Manage. Trustworthiness characteristics: validity, reliability, safety, security, accountability, transparency, explainability, privacy, fairness. Generative AI Profile (NIST AI 600-1) addresses confabulation, data privacy, information integrity.","Yes (voluntary but expected by US banks)","US banks commonly reference NIST frameworks in vendor assessments. NIST AI RMF alignment improves US market readiness.","Map VocalIQ controls to NIST AI RMF functions. Address GenAI Profile risk categories (confabulation, information integrity). Document trustworthiness characteristics.","Hallucination detection and mitigation. Information integrity controls. Safety testing and monitoring. Confabulation rate measurement in evaluation lab.","NIST AI RMF control mapping document. Regular trustworthiness assessment. GenAI-specific risk monitoring.","NIST AI RMF control mapping. Trustworthiness assessment. GenAI risk mitigation documentation.","Chief Product Officer","P1","Phase 2","No","2026-05-03"
"US","OCC 2011-12 / SR 11-7 (Model Risk Management)","https://www.occ.gov/news-issuances/bulletins/2011/bulletin-2011-12.html","Model risk management","Federal banking regulators require supervised institutions to have a model risk management framework. Models must be validated independently, monitored for performance, and subject to governance oversight. Applies to any quantitative method used for decision-making. US regulators have indicated AI/ML models fall within scope.","Yes","VocalIQ uses multiple models (LLM, STT, TTS, intent classification, fraud scoring). US bank customers will expect SR 11-7 alignment for all models used in their operations.","Model inventory with version tracking. Model validation framework. Performance monitoring and drift detection. Model governance process with approval gates. Model documentation (model cards).","Model registry tracking all deployed models (LLM, STT, TTS, classifiers). Automated performance monitoring. Drift detection alerts. A/B testing capability for model changes. Rollback capability.","Independent model validation process. Model change approval workflow. Quarterly model performance reviews. Model risk assessment for new model deployments.","Model inventory. Validation reports. Performance monitoring dashboards. Model change logs. Model risk assessments.","Model Risk Owner","P0","MVP","Yes","2026-05-03"
"UK","FCA Consumer Duty","https://www.fca.org.uk/firms/consumer-duty","Consumer protection and conduct risk","Act to deliver good outcomes for retail customers. Four outcome areas: products and services, price and value, consumer understanding, consumer support. Higher standards for vulnerable customers. Mandatory since July 2023.","Yes","VocalIQ directly interacts with retail banking customers. AI agent decisions affect consumer outcomes in all four areas.","Vulnerability detection in every call. Complaint detection and capture. Clear and fair communication (no misleading information). Fees and charges disclosed before action. Consumer understanding checks.","Vulnerability detection model in conversation runtime. Complaint trigger detection. Advice boundary enforcement in Policy Engine. Fee disclosure nodes in conversation graphs. Understanding confirmation flows.","Consumer outcome monitoring. Vulnerability detection effectiveness reporting. Complaint handling SLA tracking. Regular review of AI communication for clarity and fairness.","Consumer outcome monitoring reports. Vulnerability detection rates. Complaint capture rates. Communication quality assessments.","Chief Product Officer","P0","MVP","Yes","2026-05-03"
"US","CFPB UDAAP (Unfair, Deceptive, or Abusive Acts or Practices)","https://www.consumerfinance.gov/compliance/supervision-examinations/unfair-deceptive-or-abusive-acts-or-practices-udaap/","Consumer protection and conduct risk","Prohibits unfair, deceptive, or abusive acts or practices. Applies to all consumer financial products and services. CFPB has signaled increased scrutiny of AI-driven customer interactions.","Yes","AI agent interactions with US banking customers must not be unfair, deceptive, or abusive. Inaccurate information, misleading statements, or poor complaint handling could trigger UDAAP scrutiny.","Accuracy controls on all AI-generated information. No misleading statements about products, fees, or account status. Fair complaint handling. Transparent AI disclosure.","RAG accuracy controls (approved-content-only). Hallucination detection and blocking. Advice boundary enforcement. Complaint detection and routing.","Regular UDAAP risk assessment for AI interactions. Customer interaction quality monitoring. Complaint pattern analysis.","UDAAP risk assessment. Interaction quality monitoring reports. Complaint pattern analysis.","Compliance Officer","P1","Phase 2","Yes","2026-05-03"
"US","FinCEN Deepfake Media Fraud Alert + BSA/AML","https://www.fincen.gov/sites/default/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf","Fraud and financial crime","Financial institutions must monitor for deepfake-related fraud including synthetic voice. Red flags for synthetic identity, account takeover via synthetic voice, document manipulation. BSA/AML suspicious activity reporting obligations apply.","Yes","VocalIQ's voice channel is a potential vector for deepfake voice attacks. The Fraud-Aware Identity Layer must account for synthetic voice detection.","Deepfake/synthetic voice detection capability. Fraud risk scoring integrated into authentication flow. Suspicious activity flagging for bank SAR reporting. Social engineering detection.","Voice liveness detection in Fraud-Aware Identity Layer. Caller risk scoring with deepfake indicators. Real-time fraud alert generation. Integration with bank fraud detection systems.","Deepfake detection model monitoring and updates. Fraud escalation procedures. SAR reporting support for banks. Regular adversarial testing with synthetic voice samples.","Deepfake detection capability documentation. Fraud detection rates. Adversarial test results. Escalation procedure documentation.","Fraud Operations","P0","MVP","Yes","2026-05-03"
"UK","PSR Mandatory APP Scam Reimbursement","https://www.psr.org.uk/our-work/app-scams/","Fraud and financial crime","Mandatory reimbursement for authorized push payment (APP) scam victims. Sending PSP must reimburse within 5 business days (up to GBP 85,000). Reimbursement can be denied if customer did not meet caution standard. Effective October 2024.","Yes","If VocalIQ handles any payment-related workflows, APP scam detection is essential. Even in first-wave workflows, social engineering detection during authentication prevents downstream fraud.","APP scam detection in conversation runtime. Social engineering detection (duress indicators, coaching indicators). Beneficiary creation prohibited for AI. Wire transfer prohibited for AI. Fraud alert workflow with safe callback protocol.","Duress detection model. Social engineering pattern detection. Prohibited action enforcement (no beneficiary creation, no wire transfers by AI). Safe callback protocol for outbound fraud alerts.","APP scam monitoring and reporting. Duress detection effectiveness review. Fraud team escalation procedures. Regular scenario testing for social engineering.","APP scam detection rates. Social engineering test results. Prohibited action enforcement logs. Fraud escalation audit trail.","Fraud Operations","P0","MVP","Yes","2026-05-03"
"EU","EBA Guidelines on Outsourcing Arrangements","https://www.eba.europa.eu/activities/single-rulebook/regulatory-activities/internal-governance/guidelines-outsourcing-arrangements","Outsourcing and third-party risk","Regulated institutions must assess and manage risks of outsourcing arrangements. Critical or important functions require enhanced due diligence, audit rights, exit strategies, business continuity provisions. Subprocessor notification requirements.","Yes","VocalIQ is likely classified as a critical or important outsourcing provider for contact center operations. Banks must comply with EBA outsourcing guidelines for VocalIQ deployments.","Audit rights support. Subprocessor transparency. Exit plan with data portability. Business continuity documentation. Performance monitoring and SLA reporting.","Audit logging accessible to bank auditors. Data export APIs. Multi-provider architecture for exit scenarios. SLA monitoring dashboards.","Outsourcing register support for banks. Regular compliance assessments. Subprocessor change notification process. Annual audit support.","Outsourcing risk assessment. SLA documentation. Audit reports. Exit plan. Subprocessor list. Business continuity plan.","CTO","P1","Phase 2","Yes","2026-05-03"
"Singapore","MAS Technology Risk Management Guidelines (Outsourcing)","https://www.mas.gov.sg/regulation/guidelines/technology-risk-management-guidelines","Outsourcing and third-party risk","IT outsourcing to material service providers requires due diligence, risk assessment, contractual safeguards, monitoring, and exit planning. Cloud computing and SaaS-specific requirements.","Yes","VocalIQ is a technology service provider to Singapore FIs. MAS TRM outsourcing requirements apply to bank-VocalIQ relationship.","Support bank due diligence processes. Provide required contractual safeguards. Enable monitoring and audit. Maintain exit capability with data portability.","Audit trail accessible to bank compliance. Performance monitoring APIs. Data residency controls for Singapore. Exit data export functionality.","Due diligence questionnaire responses. Annual compliance self-assessment. Subprocessor management. Incident notification procedures.","Due diligence documentation. Contractual safeguards. Monitoring reports. Exit plan. Data residency documentation.","CTO","P0","MVP","Yes","2026-05-03"
"UK","FCA DISP (Dispute Resolution: Complaints)","https://www.handbook.fca.org.uk/handbook/DISP/","Complaints handling","Firms must have complaints handling procedures. Acknowledge complaints promptly. Resolve within 8 weeks (or refer to FOS). Record all complaints. Root cause analysis. Regular management reporting on complaints.","Yes","VocalIQ handles complaint intake (UC-007). Must support bank compliance with DISP requirements for complaints received via AI agent.","Complaint detection and intake workflow. Case creation with regulatory timeline tracking. Complaint classification. Root cause tagging support. Management reporting data export.","Complaint detection in conversation runtime. Automated case creation with timestamp. Regulatory deadline tracking (8-week clock). Case routing to appropriate handler. Complete call recording and transcript for complaint calls.","Complaint handling SLA monitoring. Root cause analysis support. FOS referral tracking. Regular complaints reporting.","Complaint records with timestamps. Resolution timelines. Root cause analysis reports. Management MI reports.","Complaints Manager","P1","MVP","Yes","2026-05-03"
"UK","FCA Vulnerable Customers Guidance (FG21/1)","https://www.fca.org.uk/publications/finalised-guidance/guidance-firms-fair-treatment-vulnerable-customers","Collections and vulnerable-customer treatment","Firms must understand vulnerability, train staff to recognize and respond, ensure products and services meet vulnerable customer needs, and monitor outcomes. Four vulnerability drivers: health, life events, resilience, capability.","Yes","VocalIQ interacts directly with customers who may be vulnerable. AI must detect vulnerability signals and respond appropriately (enhanced care, human handoff).","Passive vulnerability detection in every call. Vulnerability indicators: distress, confusion, financial difficulty, bereavement, pressure from third parties, age-related communication difficulty. Detection triggers human handoff or enhanced care protocol.","Vulnerability detection model in conversation runtime. Sentiment analysis for distress indicators. Keyword detection for hardship, bereavement, coercion. Automated routing to specialist queues. Enhanced care mode (slower pace, simpler language, additional confirmation).","Vulnerability detection effectiveness monitoring. False positive/negative analysis. Specialist training for human agents receiving vulnerability transfers. Regular model tuning.","Vulnerability detection rates. Outcome monitoring for vulnerable customers. Model performance reports. Training records.","Chief Product Officer","P0","MVP","Yes","2026-05-03"
"Multi-jurisdiction","Recordkeeping requirements (MAS, FCA, US federal banking regulators)","Multiple sources per jurisdiction","Recordkeeping and audit","Financial services firms must maintain records of customer interactions, decisions, and transactions. Records must be complete, accurate, and retrievable. Retention periods vary by jurisdiction and record type (typically 5-7 years for customer interactions).","Yes","Every VocalIQ call produces records (audio, transcript, graph state, model decisions, tool calls, policy decisions). These must be complete, tamper-evident, and retained per jurisdiction requirements.","Complete audit record for every call. Tamper-evident storage. Configurable retention periods. Retrievability for regulatory requests. Export capability for bank compliance.","Audit Ledger capturing: call metadata, authentication events, policy decisions, tool calls and responses, data disclosed, actions taken, human interventions, call outcome. Tamper-evident storage (append-only, cryptographic hashing). Configurable retention. Search and retrieval API.","Retention policy management. Regular audit completeness checks. Regulatory request response procedures. Archive management.","Audit completeness reports. Retention policy documentation. Sample audit records. Tamper-evidence verification.","CTO","P0","MVP","Yes","2026-05-03"
"Multi-jurisdiction","Accessibility requirements (ADA in US, Equality Act 2010 in UK, EU Accessibility Act)","Multiple sources per jurisdiction","Accessibility and language support","Financial services must be accessible to people with disabilities. Voice AI must accommodate hearing impairment (alternative channels), speech impairment (patience, clarification, alternative input), cognitive impairment (simpler language, confirmation checks), and language barriers (multilingual support or interpreter routing).","Yes","VocalIQ's voice channel must accommodate callers with various accessibility needs. Failure to do so exposes banks to discrimination claims.","Fallback to human agent for callers who cannot interact with AI. Patience parameters for speech-impaired callers. Simpler language mode. Interpreter routing. Text-based alternative channel support.","Configurable speech recognition sensitivity and timeout. Adaptive pace and language complexity. Interpreter queue routing. TTY/relay service compatibility. Alternative channel handoff.","Accessibility testing with diverse caller profiles. Regular accessibility audit. Accommodation procedure documentation.","Accessibility testing results. Accommodation procedure documentation. Accessibility audit reports.","Chief Product Officer","P2","Phase 2","Yes","2026-05-03"
"Multi-jurisdiction","OWASP Top 10 for LLM Applications 2025","https://owasp.org/www-project-top-10-for-large-language-model-applications/","Cybersecurity","Top 10 LLM security risks: prompt injection, sensitive information disclosure, supply chain vulnerabilities, data/model poisoning, improper output handling, excessive agency, system prompt leakage, vector/embedding weaknesses, misinformation, unbounded consumption.","Yes","VocalIQ uses LLMs in the conversation runtime. All OWASP LLM Top 10 risks are directly applicable.","Prompt injection defense (caller speech is untrusted input). Sensitive information disclosure prevention. Supply chain security for model providers. Output validation. Agency controls (least privilege). System prompt protection. Hallucination/misinformation controls.","Input sanitization in conversation runtime. Output validation before TTS. Model Gateway with provider abstraction and fallback. Tool Gateway with least-privilege scoping. System prompt isolation. RAG with approved-content-only sources. Rate limiting and resource controls.","Regular adversarial testing (prompt injection, jailbreak). Model provider security assessment. Vulnerability scanning. Incident response for LLM-specific attacks.","Adversarial test results. Prompt injection defense documentation. Vulnerability scan reports. Model provider security assessments.","CISO","P0","MVP","No","2026-05-03"
"US","FCC TCPA (AI-Generated Voice Ruling)","https://www.fcc.gov/document/fcc-confirms-tcpa-applies-ai-technologies-generate-human-voices","Electronic marketing and outbound calls","TCPA applies to AI-generated voice calls. Prior express consent required. DNC list compliance. Calling window restrictions. Opt-out mechanisms.","Yes (future outbound features)","VocalIQ's MVP is inbound-only per handoff guidance. However, outbound features (safe callback for fraud alerts, appointment reminders) must comply with TCPA when implemented.","Consent verification before any outbound AI voice call. DNC list integration. Calling window enforcement. Opt-out mechanism. Safe callback protocol for fraud alerts (bank-initiated to registered number).","Consent verification gate before outbound calls. DNC list check. Calling window enforcement per timezone. Opt-out recording and enforcement. Safe callback using registered number only.","Consent record maintenance. DNC list updates. Calling window monitoring. Opt-out processing.","Consent records. DNC compliance documentation. Calling window compliance logs. Opt-out processing records.","Compliance Officer","P2","Phase 2","Yes","2026-05-03"
"US","ECOA / Regulation B (Equal Credit Opportunity Act)","https://www.consumerfinance.gov/rules-policy/regulations/1002/","Consumer protection and conduct risk","Prohibits discrimination in credit transactions. Adverse action notices must explain specific reasons for denial. CFPB has issued guidance that algorithmic explanations must be specific and accurate, not generic.","Yes (prohibition enforcement)","VocalIQ must never make credit decisions (A6 prohibited). This regulation reinforces the prohibition and ensures the AI does not inadvertently provide credit-related guidance that could be construed as a decision.","Credit decision prohibition enforced at graph compiler, policy engine, and tool gateway levels. AI must not explain credit decisions. AI must not assess creditworthiness. Transfer to human for all credit-related inquiries.","Graph compiler rejects credit decision nodes. Policy engine blocks credit-related API calls. Content boundary prevents creditworthiness statements. Advice boundary detection for credit-adjacent topics.","Regular testing of credit decision prohibition. Content review for credit-related topics in knowledge base. Staff training on credit decision boundaries.","Prohibition enforcement logs. Adversarial test results for credit decision bypass. Content review documentation.","Compliance Officer","P0","MVP","Yes","2026-05-03"
"Singapore","PDPC Do Not Call Registry / Spam Control Act","https://www.pdpc.gov.sg/overview-of-pdpa/the-legislation/do-not-call-provisions","Electronic marketing and outbound calls","Singapore Do Not Call Registry prohibits sending marketing messages (including voice calls) to numbers on the DNC register without clear and unambiguous consent. The Spam Control Act regulates unsolicited commercial communications. Penalties for violations.","Yes (future outbound features)","VocalIQ MVP is inbound-only. Any future outbound calling (appointment reminders, fraud callbacks, marketing) must comply with PDPC DNC provisions. Singapore is the primary launch market.","DNC registry check before outbound calls. Consent verification and management. Opt-out mechanism. Calling identification display requirements.","DNC list integration. Consent verification gate. Caller ID display. Opt-out recording and enforcement.","DNC registry subscription and updates. Consent record maintenance. Opt-out processing. Compliance monitoring.","DNC compliance documentation. Consent records. Opt-out processing records.","Compliance Officer","P2","Phase 2","Yes","2026-05-03"
"EU","ePrivacy Directive (2002/58/EC) / upcoming ePrivacy Regulation","https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32002L0058","Electronic marketing and outbound calls","The ePrivacy Directive requires prior consent for electronic marketing communications including automated calling systems. Member states implement nationally with variations. Upcoming ePrivacy Regulation may unify requirements. Automated calls using AI-generated voice require prior express consent.","Yes (future outbound features)","Any outbound AI voice calling in the EU must comply with ePrivacy Directive and national implementations. EU member state variations add complexity.","Prior express consent for outbound automated calls. National opt-out list compliance. Caller identification. Opt-out mechanism in every call. Calling window restrictions per member state.","Consent verification gate. National DNC/opt-out list integration. Caller ID management. Calling window enforcement per jurisdiction. Consent withdrawal processing.","National DNC list subscriptions. Consent management across member states. Compliance monitoring per member state. Regulatory change tracking for ePrivacy Regulation.","Consent records per member state. DNC compliance documentation. Calling window compliance logs.","Compliance Officer","P2","Phase 2","Yes","2026-05-03"
"UK","PECR (Privacy and Electronic Communications Regulations 2003)","https://ico.org.uk/for-organisations/direct-marketing-and-privacy-and-electronic-communications/guide-to-pecr/","Electronic marketing and outbound calls","PECR regulates electronic marketing including automated calling systems. Automated calls (which AI voice calls would qualify as) require prior express consent. The Telephone Preference Service (TPS) must be checked before live marketing calls. ICO enforces with monetary penalties up to GBP 500,000.","Yes (future outbound features)","Any outbound AI voice calling in the UK must comply with PECR. AI-generated voice calls are classified as automated calls requiring prior consent.","Prior express consent for outbound automated calls. TPS register check. Caller identification. Opt-out mechanism. Calling window compliance.","Consent verification gate. TPS list integration. Caller ID display. Opt-out recording and enforcement. Calling window enforcement.","TPS subscription and updates. Consent record maintenance. ICO registration. Compliance monitoring.","Consent records. TPS compliance documentation. ICO registration. Opt-out processing records.","Compliance Officer","P2","Phase 2","Yes","2026-05-03"
